city,year,crime_name,incidences,rate
Agra,2013,Assault on women with intent to outrage her modesty,167,20.8
Agra,2013,Insult to the modesty of women,0,0
Ahmedabad,2013,Assault on women with intent to outrage her modesty,180,6
Ahmedabad,2013,Insult to the modesty of women,8,0.3
Allahabad,2013,Assault on women with intent to outrage her modesty,92,16.4
Allahabad,2013,Insult to the modesty of women,0,0
Amritsar,2013,Assault on women with intent to outrage her modesty,53,9.6
Amritsar,2013,Insult to the modesty of women,4,0.7
Asansol,2013,Assault on women with intent to outrage her modesty,73,12.3
Asansol,2013,Insult to the modesty of women,1,0.2
Aurangabad,2013,Assault on women with intent to outrage her modesty,173,30.4
Aurangabad,2013,Insult to the modesty of women,38,6.7
Bengaluru,2013,Assault on women with intent to outrage her modesty,378,9.3
Bengaluru,2013,Insult to the modesty of women,73,1.8
Bhopal,2013,Assault on women with intent to outrage her modesty,307,34.2
Bhopal,2013,Insult to the modesty of women,42,4.7
Chandigarh,2013,Assault on women with intent to outrage her modesty,136,29.4
Chandigarh,2013,Insult to the modesty of women,25,5.4
Chennai,2013,Assault on women with intent to outrage her modesty,55,1.3
Chennai,2013,Insult to the modesty of women,155,3.6
Coimbatore,2013,Assault on women with intent to outrage her modesty,15,1.4
Coimbatore,2013,Insult to the modesty of women,4,0.4
Delhi,2013,Assault on women with intent to outrage her modesty,3069,40.5
Delhi,2013,Insult to the modesty of women,807,10.7
Dhanbad,2013,Assault on women with intent to outrage her modesty,9,1.6
Dhanbad,2013,Insult to the modesty of women,0,0
Durg-Bhilainagar,2013,Assault on women with intent to outrage her modesty,180,34.7
Durg-Bhilainagar,2013,Insult to the modesty of women,17,3.3
Faridabad,2013,Assault on women with intent to outrage her modesty,90,13.8
Faridabad,2013,Insult to the modesty of women,56,8.6
Ghaziabad,2013,Assault on women with intent to outrage her modesty,124,11.3
Ghaziabad,2013,Insult to the modesty of women,0,0
Gwalior,2013,Assault on women with intent to outrage her modesty,262,51.1
Gwalior,2013,Insult to the modesty of women,45,8.8
Hyderabad,2013,Assault on women with intent to outrage her modesty,225,6
Hyderabad,2013,Insult to the modesty of women,90,2.4
India,2013,Assault on women with intent to outrage her modesty,70739,11.9
India,2013,Insult to the modesty of women,12589,2.1
Indore,2013,Assault on women with intent to outrage her modesty,251,24.2
Indore,2013,Insult to the modesty of women,54,5.2
Jabalpur,2013,Assault on women with intent to outrage her modesty,194,32.1
Jabalpur,2013,Insult to the modesty of women,21,3.5
Jaipur,2013,Assault on women with intent to outrage her modesty,283,19.5
Jaipur,2013,Insult to the modesty of women,0,0
Jamshedpur,2013,Assault on women with intent to outrage her modesty,52,8.1
Jamshedpur,2013,Insult to the modesty of women,2,0.3
Jodhpur,2013,Assault on women with intent to outrage her modesty,141,26.2
Jodhpur,2013,Insult to the modesty of women,0,0
Kannur,2013,Assault on women with intent to outrage her modesty,58,6.6
Kannur,2013,Insult to the modesty of women,5,0.6
Kanpur,2013,Assault on women with intent to outrage her modesty,59,4.4
Kanpur,2013,Insult to the modesty of women,0,0
Kochi,2013,Assault on women with intent to outrage her modesty,168,15.6
Kochi,2013,Insult to the modesty of women,23,2.1
Kolkata,2013,Assault on women with intent to outrage her modesty,707,10.4
Kolkata,2013,Insult to the modesty of women,412,6.1
