city,year,crime_name,incidences,rate
Kollam,2013,Assault on women with intent to outrage her modesty,198,34.1
Kollam,2013,Insult to the modesty of women,17,2.9
Kota,2013,Assault on women with intent to outrage her modesty,101,21.4
Kota,2013,Insult to the modesty of women,5,1.1
Kozhikode,2013,Assault on women with intent to outrage her modesty,110,10.3
Kozhikode,2013,Insult to the modesty of women,44,4.1
Lucknow,2013,Assault on women with intent to outrage her modesty,261,18.9
Lucknow,2013,Insult to the modesty of women,1,0.1
Ludhiana,2013,Assault on women with intent to outrage her modesty,81,11
Ludhiana,2013,Insult to the modesty of women,21,2.8
Madurai,2013,Assault on women with intent to outrage her modesty,23,3.2
Madurai,2013,Insult to the modesty of women,2,0.3
Malappuram,2013,Assault on women with intent to outrage her modesty,49,5.5
Malappuram,2013,Insult to the modesty of women,3,0.3
Meerut,2013,Assault on women with intent to outrage her modesty,151,22.5
Meerut,2013,Insult to the modesty of women,0,0
Mumbai,2013,Assault on women with intent to outrage her modesty,1163,13.7
Mumbai,2013,Insult to the modesty of women,444,5.2
Nagpur,2013,Assault on women with intent to outrage her modesty,209,17.1
Nagpur,2013,Insult to the modesty of women,52,4.3
Nasik,2013,Assault on women with intent to outrage her modesty,96,13
Nasik,2013,Insult to the modesty of women,9,1.2
Patna,2013,Assault on women with intent to outrage her modesty,15,1.6
Patna,2013,Insult to the modesty of women,2,0.2
Pune,2013,Assault on women with intent to outrage her modesty,304,12.7
Pune,2013,Insult to the modesty of women,128,5.4
Raipur,2013,Assault on women with intent to outrage her modesty,171,31.4
Raipur,2013,Insult to the modesty of women,19,3.5
Rajkot,2013,Assault on women with intent to outrage her modesty,18,2.7
Rajkot,2013,Insult to the modesty of women,4,0.6
Ranchi,2013,Assault on women with intent to outrage her modesty,11,2
Ranchi,2013,Insult to the modesty of women,6,1.1
Srinagar,2013,Assault on women with intent to outrage her modesty,266,44.6
Srinagar,2013,Insult to the modesty of women,90,15.1
Surat,2013,Assault on women with intent to outrage her modesty,91,4.6
Surat,2013,Insult to the modesty of women,0,0
Thiruvananthapuram,2013,Assault on women with intent to outrage her modesty,299,34.3
Thiruvananthapuram,2013,Insult to the modesty of women,33,3.8
Thrissur,2013,Assault on women with intent to outrage her modesty,85,8.7
Thrissur,2013,Insult to the modesty of women,17,1.7
Tiruchirappalli,2013,Assault on women with intent to outrage her modesty,18,3.5
Tiruchirappalli,2013,Insult to the modesty of women,6,1.2
Vadodara,2013,Assault on women with intent to outrage her modesty,107,12.3
Vadodara,2013,Insult to the modesty of women,7,0.8
Varanasi,2013,Assault on women with intent to outrage her modesty,121,18
Varanasi,2013,Insult to the modesty of women,3,0.5
Vasai-Virar,2013,Assault on women with intent to outrage her modesty,66,11.5
Vasai-Virar,2013,Insult to the modesty of women,24,4.2
Vijayawada,2013,Assault on women with intent to outrage her modesty,249,33.6
Vijayawada,2013,Insult to the modesty of women,456,61.6
Vishakhapatnam,2013,Assault on women with intent to outrage her modesty,149,17.4
Vishakhapatnam,2013,Insult to the modesty of women,100,11.7
