city,year,crime_name,incidences,rate
Meerut,2011,Assault on women with intent to outrage her modesty,47,7
Meerut,2011,Insult to the modesty of women,0,0
Mumbai,2011,Assault on women with intent to outrage her modesty,553,6.5
Mumbai,2011,Insult to the modesty of women,162,1.9
Nagpur,2011,Assault on women with intent to outrage her modesty,68,5.6
Nagpur,2011,Insult to the modesty of women,53,4.3
Nasik,2011,Assault on women with intent to outrage her modesty,37,5
Nasik,2011,Insult to the modesty of women,10,1.4
Patna,2011,Assault on women with intent to outrage her modesty,1,0.1
Patna,2011,Insult to the modesty of women,1,0.1
Pune,2011,Assault on women with intent to outrage her modesty,118,4.9
Pune,2011,Insult to the modesty of women,80,3.3
Raipur,2011,Assault on women with intent to outrage her modesty,195,35.8
Raipur,2011,Insult to the modesty of women,27,5
Rajkot,2011,Assault on women with intent to outrage her modesty,17,2.6
Rajkot,2011,Insult to the modesty of women,3,0.5
Ranchi,2011,Assault on women with intent to outrage her modesty,5,0.9
Ranchi,2011,Insult to the modesty of women,0,0
Srinagar,2011,Assault on women with intent to outrage her modesty,171,28.7
Srinagar,2011,Insult to the modesty of women,70,11.7
Surat,2011,Assault on women with intent to outrage her modesty,34,1.7
Surat,2011,Insult to the modesty of women,3,0.2
Thiruvananthapuram,2011,Assault on women with intent to outrage her modesty,241,27.6
Thiruvananthapuram,2011,Insult to the modesty of women,46,5.3
Thrissur,2011,Assault on women with intent to outrage her modesty,100,10.2
Thrissur,2011,Insult to the modesty of women,28,2.9
Tiruchirappalli,2011,Assault on women with intent to outrage her modesty,17,3.3
Tiruchirappalli,2011,Insult to the modesty of women,26,5.1
Vadodara,2011,Assault on women with intent to outrage her modesty,15,1.7
Vadodara,2011,Insult to the modesty of women,2,0.2
Varanasi,2011,Assault on women with intent to outrage her modesty,1,0.1
Varanasi,2011,Insult to the modesty of women,0,0
Vasai-Virar,2011,Assault on women with intent to outrage her modesty,19,3.3
Vasai-Virar,2011,Insult to the modesty of women,10,1.7
Vijayawada,2011,Assault on women with intent to outrage her modesty,248,33.5
Vijayawada,2011,Insult to the modesty of women,355,47.9
Vishakhapatnam,2011,Assault on women with intent to outrage her modesty,31,3.6
Vishakhapatnam,2011,Insult to the modesty of women,50,5.9
