city,year,crime_name,incidences,rate
Tiruchirappalli,2014,Assault on women with intent to outrage her modesty,10,1.9
Tiruchirappalli,2014,Insult to the modesty of women,3,0.6
Vadodara,2014,Assault on women with intent to outrage her modesty,109,12.5
Vadodara,2014,Insult to the modesty of women,8,0.9
Varanasi,2014,Assault on women with intent to outrage her modesty,116,17.2
Varanasi,2014,Insult to the modesty of women,3,0.4
Vasai-Virar,2014,Assault on women with intent to outrage her modesty,113,19.8
Vasai-Virar,2014,Insult to the modesty of women,16,2.8
Vijayawada,2014,Assault on women with intent to outrage her modesty,279,37.7
Vijayawada,2014,Insult to the modesty of women,212,28.6
Vishakhapatnam,2014,Assault on women with intent to outrage her modesty,147,17.2
Vishakhapatnam,2014,Insult to the modesty of women,112,13.1
